"Index","Probe_Id","Symbol"
"558","ILMN_1655625","GPATCH1"
"559","ILMN_1916992",""
"560","ILMN_1668432","IMPACT"
"561","ILMN_1912885",""
"562","ILMN_1797753","ARHGAP28"
"563","ILMN_1731178","ARHGAP28"
"564","ILMN_2071598","CFHR3"
"565","ILMN_1661399","LOC649604"
"566","ILMN_1728957","ANKRD5"
"567","ILMN_1662964","PRMT3"
"568","ILMN_1884064",""
"569","ILMN_1666653","BTBD3"
"570","ILMN_1668592","STON1"
"571","ILMN_1688776","LOC650861"
"572","ILMN_2412281","PDLIM5"
"573","ILMN_2329773","RAB27A"
"574","ILMN_1797875","ALOX5AP"
"575","ILMN_1899922",""
"576","ILMN_2286570","ADAMTS13"
"577","ILMN_1743483","FLJ14186"
"578","ILMN_2359500","NCDN"
"579","ILMN_1764654","LOC647993"
"580","ILMN_2088673","CHR415SYT"
"581","ILMN_1765532","RDBP"
"582","ILMN_1781691","TRAK2"
"583","ILMN_1670318","RIOK1"
"584","ILMN_1672443","QDPR"
"585","ILMN_1707904","LOC641518"
"586","ILMN_1702167","LOC641518"
"587","ILMN_2388547","EPSTI1"
"588","ILMN_1681591","PTPN1"
"589","ILMN_1731941","APOM"
"590","ILMN_2172933","LCN12"
"591","ILMN_1858409",""
"592","ILMN_1837522",""
"593","ILMN_1742044","GNAI1"
"594","ILMN_2131467","GNAI1"
"595","ILMN_1652938","PRRG3"
"596","ILMN_1804834","C6orf130"
"597","ILMN_1756070","INSC"
"598","ILMN_2340643","INSC"
"599","ILMN_1826215",""
"600","ILMN_1795285","PHF15"
"601","ILMN_1816234",""
"602","ILMN_1745490","LOC651115"
"603","ILMN_1832459",""
"604","ILMN_2343677","SOX5"
"605","ILMN_1760051","SOX5"
"606","ILMN_1655261","ERP27"
"607","ILMN_1691487","TRAF2"
"608","ILMN_1764153","LOC646036"
"609","ILMN_2092943","SSX6"
"610","ILMN_1672759","CCDC109A"
"611","ILMN_1694100","PRIM2"
"612","ILMN_1674924","PRR17"
"613","ILMN_1688903","LOC728554"
"614","ILMN_1813246","LOC728554"
"615","ILMN_1691949","LOC728554"
"616","ILMN_1803191","LOC651126"
"617","ILMN_1670707","C17orf46"
"618","ILMN_1713533","TKTL2"
"619","ILMN_1766981","UNC50"
"620","ILMN_1880382",""
"621","ILMN_1917036",""
"622","ILMN_1898159",""
"623","ILMN_1684534","EPB41L1"
"624","ILMN_1885950",""
"625","ILMN_2361695","BAG5"
"626","ILMN_1916014",""
"627","ILMN_1788728","LGI1"
"628","ILMN_2171023","LGI1"
"629","ILMN_1730995","AFAP1L2"
"630","ILMN_2412807","DCTN1"
"631","ILMN_1730696","ZNF167"
"632","ILMN_1761409","ZNF167"
"633","ILMN_1687403","MRPL40"
"634","ILMN_2364901","FSCN2"
"635","ILMN_1702817","B3GNTL1"
"636","ILMN_1776925","PRSS22"
"637","ILMN_1700394","LOC642629"
"638","ILMN_2188333","CD69"
"639","ILMN_1869088",""
"640","ILMN_1863858",""
"641","ILMN_1779109","AGPAT1"
"642","ILMN_1676413","VSNL1"
"643","ILMN_1782501","LOC653219"
"644","ILMN_1691228","C20orf197"
"645","ILMN_1673376","TBCD"
"646","ILMN_1795400","TBCD"
"647","ILMN_1733846","XKR9"
"648","ILMN_1792383","PFN4"
"649","ILMN_2347068","MKNK2"
"650","ILMN_2406313","RBCK1"
